"","Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
"260",161,"20200122 P1",-0.000599999999999795,0.1699,"DMSO",0
"261",161,"20200122 P1",-0.000599999999999795,0.1699,"PTx",0
"262",161,"20200122 P1",-0.000599999999999795,0.1699,"YM",0
"263",161,"20200122 P1",-0.000599999999999795,0.1699,"ymptx",0
"265",163,"20200122 P1",0.1773,-0.00340000000000062,"DMSO",0
"266",163,"20200122 P1",0.1773,-0.00340000000000062,"PTx",0
"267",163,"20200122 P1",0.1773,-0.00340000000000062,"YM",0
"268",163,"20200122 P1",0.1773,-0.00340000000000062,"ymptx",0
"269",165,"20200122 P1",0.0747000000000002,0.00729999999999975,"DMSO",0
"270",165,"20200122 P1",0.0747000000000002,0.00729999999999975,"PTx",0
"271",165,"20200122 P1",0.0747000000000002,0.00729999999999975,"YM",0
"272",165,"20200122 P1",0.0747000000000002,0.00729999999999975,"ymptx",0
"273",167,"20200122 P1",-0.0200999999999998,-0.0899999999999999,"DMSO",0
"274",167,"20200122 P1",-0.0200999999999998,-0.0899999999999999,"PTx",0
"275",167,"20200122 P1",-0.0200999999999998,-0.0899999999999999,"YM",0
"276",167,"20200122 P1",-0.0200999999999998,-0.0899999999999999,"ymptx",0
"277",168,"20200122 P1",0.0236999999999997,-0.4027,"DMSO",0
"278",168,"20200122 P1",0.0236999999999997,-0.4027,"PTx",0
"279",168,"20200122 P1",0.0236999999999997,-0.4027,"YM",0
"280",168,"20200122 P1",0.0236999999999997,-0.4027,"ymptx",0
"282",171,"20200122 P1",-0.0578999999999997,0.0432999999999997,"DMSO",0
"283",171,"20200122 P1",-0.0578999999999997,0.0432999999999997,"PTx",0
"284",171,"20200122 P1",-0.0578999999999997,0.0432999999999997,"YM",0
"285",171,"20200122 P1",-0.0578999999999997,0.0432999999999997,"ymptx",0
"287",179,"20200122 P1",0.0552999999999998,0.433300000000001,"DMSO",0
"288",179,"20200122 P1",0.0552999999999998,0.433300000000001,"PTx",0
"289",179,"20200122 P1",0.0552999999999998,0.433300000000001,"YM",0
"290",179,"20200122 P1",0.0552999999999998,0.433300000000001,"ymptx",0
"291",180,"20200122 P1",-0.00110000000000002,-0.1142,"DMSO",0
"292",180,"20200122 P1",-0.00110000000000002,-0.1142,"PTx",0
"293",180,"20200122 P1",-0.00110000000000002,-0.1142,"YM",0
"294",180,"20200122 P1",-0.00110000000000002,-0.1142,"ymptx",0
"295",181,"20200122 P1",-0.1128,0.333,"DMSO",0
"296",181,"20200122 P1",-0.1128,0.333,"PTx",0
"297",181,"20200122 P1",-0.1128,0.333,"YM",0
"298",181,"20200122 P1",-0.1128,0.333,"ymptx",0
"300",188,"20200122 P1",0.363,-0.356499999999999,"DMSO",0
