"","Time_in_min","Inhibitor","CN_ERK","Object","Slide"
"257",58.5,"DMSO",0.7002,111,"P1"
"258",62,"DMSO",0.6767,111,"P1"
"259",65.5,"DMSO",0.6853,111,"P1"
"260",69,"DMSO",0.7091,111,"P1"
"261",72.5,"DMSO",0.613,111,"P1"
"262",76,"DMSO",0.5761,111,"P1"
"263",79.5,"DMSO",0.5701,111,"P1"
"264",83,"DMSO",0.5642,111,"P1"
"265",2.5,"DMSO",0.5658,112,"P1"
"266",6,"DMSO",0.5446,112,"P1"
"267",9.5,"DMSO",0.5495,112,"P1"
"268",13,"DMSO",0.5378,112,"P1"
"269",16.5,"DMSO",0.5336,112,"P1"
"270",20,"DMSO",0.5688,112,"P1"
"271",23.5,"DMSO",0.5713,112,"P1"
"272",27,"DMSO",0.9944,112,"P1"
"273",30.5,"DMSO",1.3163,112,"P1"
"274",34,"DMSO",1.3231,112,"P1"
"275",37.5,"DMSO",1.2158,112,"P1"
"276",41,"DMSO",1.1098,112,"P1"
"277",44.5,"DMSO",1.1102,112,"P1"
"278",48,"DMSO",1.0891,112,"P1"
"279",51.5,"DMSO",1.2038,112,"P1"
"280",55,"DMSO",1.1819,112,"P1"
"281",58.5,"DMSO",1.1583,112,"P1"
"282",62,"DMSO",1.0305,112,"P1"
"283",65.5,"DMSO",0.9339,112,"P1"
"284",69,"DMSO",0.9528,112,"P1"
"285",72.5,"DMSO",0.9608,112,"P1"
"286",76,"DMSO",0.9751,112,"P1"
"287",79.5,"DMSO",0.9767,112,"P1"
"288",83,"DMSO",0.9478,112,"P1"
"289",2.5,"DMSO",0.6073,113,"P1"
"290",6,"DMSO",0.6368,113,"P1"
"291",9.5,"DMSO",0.641,113,"P1"
"292",13,"DMSO",0.611,113,"P1"
"293",16.5,"DMSO",0.5919,113,"P1"
"294",20,"DMSO",0.5659,113,"P1"
"295",23.5,"DMSO",0.5925,113,"P1"
"296",27,"DMSO",0.8921,113,"P1"
"297",30.5,"DMSO",1.2981,113,"P1"
"298",34,"DMSO",1.3916,113,"P1"
"299",37.5,"DMSO",1.381,113,"P1"
"300",41,"DMSO",1.2831,113,"P1"
"301",44.5,"DMSO",1.2422,113,"P1"
"302",48,"DMSO",1.2193,113,"P1"
"303",51.5,"DMSO",1.2809,113,"P1"
"304",55,"DMSO",1.197,113,"P1"
"305",58.5,"DMSO",1.1338,113,"P1"
"306",62,"DMSO",1.1628,113,"P1"
"307",65.5,"DMSO",1.1316,113,"P1"
"308",69,"DMSO",1.1482,113,"P1"
"309",72.5,"DMSO",1.1662,113,"P1"
"310",76,"DMSO",1.1693,113,"P1"
"311",79.5,"DMSO",1.1225,113,"P1"
"312",83,"DMSO",1.048,113,"P1"
"313",2.5,"DMSO",0.3134,114,"P1"
"314",6,"DMSO",0.3333,114,"P1"
"315",9.5,"DMSO",0.3235,114,"P1"
"316",13,"DMSO",0.335,114,"P1"
"317",16.5,"DMSO",0.3552,114,"P1"
"318",20,"DMSO",0.3503,114,"P1"
"319",23.5,"DMSO",0.3545,114,"P1"
"320",27,"DMSO",0.4284,114,"P1"
"321",30.5,"DMSO",0.7875,114,"P1"
"322",34,"DMSO",0.9661,114,"P1"
"323",37.5,"DMSO",1.0118,114,"P1"
"324",41,"DMSO",0.9052,114,"P1"
"325",44.5,"DMSO",0.7947,114,"P1"
"326",48,"DMSO",0.7391,114,"P1"
"327",51.5,"DMSO",0.6456,114,"P1"
"328",55,"DMSO",0.5972,114,"P1"
"329",58.5,"DMSO",0.5534,114,"P1"
"330",62,"DMSO",0.5576,114,"P1"
"331",65.5,"DMSO",0.5742,114,"P1"
"332",69,"DMSO",0.5895,114,"P1"
"333",72.5,"DMSO",0.6372,114,"P1"
"334",76,"DMSO",0.6259,114,"P1"
"335",79.5,"DMSO",0.6181,114,"P1"
"336",83,"DMSO",0.6054,114,"P1"
"337",2.5,"DMSO",0.334,116,"P1"
"338",6,"DMSO",0.3379,116,"P1"
"339",9.5,"DMSO",0.3545,116,"P1"
"340",13,"DMSO",0.3308,116,"P1"
"341",16.5,"DMSO",0.3234,116,"P1"
"342",20,"DMSO",0.3295,116,"P1"
"343",23.5,"DMSO",0.3459,116,"P1"
"344",27,"DMSO",0.5901,116,"P1"
"345",30.5,"DMSO",1.0667,116,"P1"
"346",34,"DMSO",1.1728,116,"P1"
"347",37.5,"DMSO",1.1059,116,"P1"
"348",41,"DMSO",0.9682,116,"P1"
"349",44.5,"DMSO",0.8364,116,"P1"
"350",48,"DMSO",0.745,116,"P1"
