"Wavelength","mTurquoise2 EM","mTurquoise2 EX","mNeonGreen EM","mNeonGreen EX","mScarlet-I EM","mScarlet-I EX","miRFP670 EM","miRFP670 EX"
573,0.0967,,0.1081,0,0.4579,0.9731,,0.3311
574,0.0934,,0.1026,0,0.506,0.9519,,0.342
575,0.091,,0.097,0.0001,0.5541,0.9236,,0.3528
576,0.0883,,0.0918,0,0.6015,0.8915,,0.3637
577,0.0854,,0.0868,0,0.6473,0.8548,,0.3745
578,0.0832,,0.0823,0,0.6912,0.8117,,0.385
579,0.0809,,0.0783,0,0.7332,0.7637,,0.3952
580,0.0791,,0.0744,0,0.7729,0.7129,,0.4054
581,0.0768,,0.0707,0,0.8101,0.6614,,0.4174
582,0.0747,,0.0673,0,0.8443,0.6109,,0.4296
583,0.0728,,0.0642,0,0.8754,0.5608,,0.4411
584,0.0705,,0.0616,0,0.903,0.5118,,0.4506
585,0.0683,,0.0591,0,0.9269,0.4658,,0.4601
586,0.0668,,0.0562,0,0.9475,0.4231,,0.47
587,0.0647,,0.0533,0,0.9646,0.3828,,0.4802
588,0.0629,,0.0512,0,0.978,0.3443,,0.4904
589,0.0615,,0.0488,0,0.9878,0.3092,,0.4997
590,0.0599,,0.0467,0,0.9945,0.2786,,0.5089
591,0.0578,,0.0449,0,0.9985,0.2499,,0.5182
592,0.0557,,0.0433,0.0001,1,0.2217,,0.5269
593,0.0542,,0.0416,0,0.9994,0.1959,,0.5354
594,0.0527,,0.0398,0,0.997,0.1731,,0.5438
595,0.0511,,0.0382,0,0.993,0.1531,,0.5523
596,0.0501,,0.0365,0,0.9876,0.1354,,0.5604
597,0.048,,0.0351,0,0.9809,0.1198,,0.5682
598,0.0464,,0.0336,0,0.973,0.1058,,0.5761
599,0.045,,0.0323,0,0.9643,0.0931,,0.5839
600,0.0434,,0.0312,0,0.9549,0.0817,,0.5914
601,0.0416,,0.0303,,0.9449,0.0716,,0.5986
602,0.0407,,0.029,,0.9344,0.0629,,0.6059
603,0.0388,,0.0279,,0.9235,0.0556,,0.6131
604,0.0376,,0.0267,,0.9123,0.0498,,0.6206
605,0.0361,,0.0256,,0.9008,0.0449,,0.6282
