"Condition","Treatment","Time","object","activity"
"Cdc42","S1P",1.5,"Cell 07",1.008506
"Cdc42","S1P",1.5,"Cell 08",1.004742
"Cdc42","S1P",1.5,"Cell 09",1.007852
"Cdc42","S1P",1.5,"Cell 10",1.010009
"Cdc42","S1P",1.5,"Cell 11",1.004767
"Cdc42","S1P",1.5,"Cell 12",1.000128
"Cdc42","S1P",1.5,"Cell 13",0.9932653
"Cdc42","S1P",1.5,"Cell 14",0.9907459
"Cdc42","S1P",1.5,"Cell 15",0.9950312
"Cdc42","S1P",1.5,"Cell 16",0.996653
"Cdc42","S1P",1.5,"Cell 17",1.001842
"Cdc42","S1P",1.5,"Cell 18",0.9909142
"Cdc42","S1P",1.5,"Cell 19",0.9943924
"Cdc42","S1P",1.5,"Cell 20",NA
"Cdc42","S1P",1.5,"Cell 21",NA
"Cdc42","S1P",1.5,"Cell 22",NA
"Cdc42","S1P",1.5,"Cell 23",NA
"Cdc42","S1P",1.5,"Cell 24",NA
"Cdc42","S1P",1.5,"Cell 25",NA
"Cdc42","S1P",1.5,"Cell 26",NA
"Cdc42","S1P",1.5,"Cell 27",NA
"Cdc42","S1P",1.5,"Cell 28",NA
"Cdc42","S1P",1.5,"Cell 29",NA
"Cdc42","S1P",1.5,"Cell 30",NA
"Cdc42","S1P",1.5,"Cell 31",NA
"Cdc42","S1P",1.5,"Cell 32",NA
"Cdc42","S1P",1.666667,"Cell 01",1.003382
"Cdc42","S1P",1.666667,"Cell 02",0.9903576
"Cdc42","S1P",1.666667,"Cell 03",1.023727
"Cdc42","S1P",1.666667,"Cell 04",1.014274
"Cdc42","S1P",1.666667,"Cell 05",0.9976116
"Cdc42","S1P",1.666667,"Cell 06",1.016678
"Cdc42","S1P",1.666667,"Cell 07",1.00654
"Cdc42","S1P",1.666667,"Cell 08",0.9983382
"Cdc42","S1P",1.666667,"Cell 09",0.9996123
"Cdc42","S1P",1.666667,"Cell 10",1.004652
"Cdc42","S1P",1.666667,"Cell 11",0.9992133
"Cdc42","S1P",1.666667,"Cell 12",1.01023
"Cdc42","S1P",1.666667,"Cell 13",1.00894
"Cdc42","S1P",1.666667,"Cell 14",0.9929791
"Cdc42","S1P",1.666667,"Cell 15",0.9978522
"Cdc42","S1P",1.666667,"Cell 16",0.995156
"Cdc42","S1P",1.666667,"Cell 17",1.002768
"Cdc42","S1P",1.666667,"Cell 18",1.011326
"Cdc42","S1P",1.666667,"Cell 19",1.009424
"Cdc42","S1P",1.666667,"Cell 20",NA
"Cdc42","S1P",1.666667,"Cell 21",NA
"Cdc42","S1P",1.666667,"Cell 22",NA
"Cdc42","S1P",1.666667,"Cell 23",NA
"Cdc42","S1P",1.666667,"Cell 24",NA
"Cdc42","S1P",1.666667,"Cell 25",NA
"Cdc42","S1P",1.666667,"Cell 26",NA
"Cdc42","S1P",1.666667,"Cell 27",NA
"Cdc42","S1P",1.666667,"Cell 28",NA
"Cdc42","S1P",1.666667,"Cell 29",NA
"Cdc42","S1P",1.666667,"Cell 30",NA
"Cdc42","S1P",1.666667,"Cell 31",NA
"Cdc42","S1P",1.666667,"Cell 32",NA
"Cdc42","S1P",1.833333,"Cell 01",1.0102
"Cdc42","S1P",1.833333,"Cell 02",0.9981672
"Cdc42","S1P",1.833333,"Cell 03",1.015757
"Cdc42","S1P",1.833333,"Cell 04",1.014384
"Cdc42","S1P",1.833333,"Cell 05",0.9943925
"Cdc42","S1P",1.833333,"Cell 06",1.016697
"Cdc42","S1P",1.833333,"Cell 07",1.010144
"Cdc42","S1P",1.833333,"Cell 08",0.9987314
"Cdc42","S1P",1.833333,"Cell 09",0.9992303
"Cdc42","S1P",1.833333,"Cell 10",1.004805
"Cdc42","S1P",1.833333,"Cell 11",0.999886
"Cdc42","S1P",1.833333,"Cell 12",1.005417
"Cdc42","S1P",1.833333,"Cell 13",1.003481
"Cdc42","S1P",1.833333,"Cell 14",0.9936553
"Cdc42","S1P",1.833333,"Cell 15",0.9996405
"Cdc42","S1P",1.833333,"Cell 16",1.003302
"Cdc42","S1P",1.833333,"Cell 17",1.006971
"Cdc42","S1P",1.833333,"Cell 18",1.016843
"Cdc42","S1P",1.833333,"Cell 19",1.009595
"Cdc42","S1P",1.833333,"Cell 20",NA
"Cdc42","S1P",1.833333,"Cell 21",NA
"Cdc42","S1P",1.833333,"Cell 22",NA
"Cdc42","S1P",1.833333,"Cell 23",NA
"Cdc42","S1P",1.833333,"Cell 24",NA
"Cdc42","S1P",1.833333,"Cell 25",NA
"Cdc42","S1P",1.833333,"Cell 26",NA
"Cdc42","S1P",1.833333,"Cell 27",NA
"Cdc42","S1P",1.833333,"Cell 28",NA
"Cdc42","S1P",1.833333,"Cell 29",NA
"Cdc42","S1P",1.833333,"Cell 30",NA
"Cdc42","S1P",1.833333,"Cell 31",NA
"Cdc42","S1P",1.833333,"Cell 32",NA
"Cdc42","S1P",2,"Cell 01",1.010517
"Cdc42","S1P",2,"Cell 02",0.9940639
"Cdc42","S1P",2,"Cell 03",1.061331
"Cdc42","S1P",2,"Cell 04",1.052581
"Cdc42","S1P",2,"Cell 05",0.9989334
"Cdc42","S1P",2,"Cell 06",1.069849
"Cdc42","S1P",2,"Cell 07",1.078897
"Cdc42","S1P",2,"Cell 08",1.015138
"Cdc42","S1P",2,"Cell 09",1.019576
"Cdc42","S1P",2,"Cell 10",1.020904
"Cdc42","S1P",2,"Cell 11",1.013372
"Cdc42","S1P",2,"Cell 12",1.014327
"Cdc42","S1P",2,"Cell 13",1.026766
"Cdc42","S1P",2,"Cell 14",1.034135
"Cdc42","S1P",2,"Cell 15",1.027137
"Cdc42","S1P",2,"Cell 16",0.9999792
"Cdc42","S1P",2,"Cell 17",1.003706
"Cdc42","S1P",2,"Cell 18",1.037629
"Cdc42","S1P",2,"Cell 19",1.034043
"Cdc42","S1P",2,"Cell 20",NA
"Cdc42","S1P",2,"Cell 21",NA
"Cdc42","S1P",2,"Cell 22",NA
"Cdc42","S1P",2,"Cell 23",NA
"Cdc42","S1P",2,"Cell 24",NA
"Cdc42","S1P",2,"Cell 25",NA
"Cdc42","S1P",2,"Cell 26",NA
"Cdc42","S1P",2,"Cell 27",NA
"Cdc42","S1P",2,"Cell 28",NA
"Cdc42","S1P",2,"Cell 29",NA
"Cdc42","S1P",2,"Cell 30",NA
"Cdc42","S1P",2,"Cell 31",NA
"Cdc42","S1P",2,"Cell 32",NA
"Cdc42","S1P",2.166667,"Cell 01",1.071965
"Cdc42","S1P",2.166667,"Cell 02",1.05218
"Cdc42","S1P",2.166667,"Cell 03",1.169031
"Cdc42","S1P",2.166667,"Cell 04",1.153867
"Cdc42","S1P",2.166667,"Cell 05",1.024297
"Cdc42","S1P",2.166667,"Cell 06",1.119524
"Cdc42","S1P",2.166667,"Cell 07",1.129541
"Cdc42","S1P",2.166667,"Cell 08",1.073687
"Cdc42","S1P",2.166667,"Cell 09",1.070687
"Cdc42","S1P",2.166667,"Cell 10",1.071681
"Cdc42","S1P",2.166667,"Cell 11",1.040544
"Cdc42","S1P",2.166667,"Cell 12",1.057266
"Cdc42","S1P",2.166667,"Cell 13",1.114249
"Cdc42","S1P",2.166667,"Cell 14",1.112273
"Cdc42","S1P",2.166667,"Cell 15",1.08802
"Cdc42","S1P",2.166667,"Cell 16",1.009683
"Cdc42","S1P",2.166667,"Cell 17",1.014391
"Cdc42","S1P",2.166667,"Cell 18",1.066922
"Cdc42","S1P",2.166667,"Cell 19",1.062937
"Cdc42","S1P",2.166667,"Cell 20",NA
"Cdc42","S1P",2.166667,"Cell 21",NA
"Cdc42","S1P",2.166667,"Cell 22",NA
"Cdc42","S1P",2.166667,"Cell 23",NA
"Cdc42","S1P",2.166667,"Cell 24",NA
"Cdc42","S1P",2.166667,"Cell 25",NA
"Cdc42","S1P",2.166667,"Cell 26",NA
"Cdc42","S1P",2.166667,"Cell 27",NA
"Cdc42","S1P",2.166667,"Cell 28",NA
"Cdc42","S1P",2.166667,"Cell 29",NA
"Cdc42","S1P",2.166667,"Cell 30",NA
"Cdc42","S1P",2.166667,"Cell 31",NA
"Cdc42","S1P",2.166667,"Cell 32",NA
"Cdc42","S1P",2.333333,"Cell 01",1.131878
"Cdc42","S1P",2.333333,"Cell 02",1.108258
"Cdc42","S1P",2.333333,"Cell 03",1.176923
"Cdc42","S1P",2.333333,"Cell 04",1.197352
"Cdc42","S1P",2.333333,"Cell 05",1.041851
"Cdc42","S1P",2.333333,"Cell 06",1.150723
"Cdc42","S1P",2.333333,"Cell 07",1.139203
"Cdc42","S1P",2.333333,"Cell 08",1.104553
"Cdc42","S1P",2.333333,"Cell 09",1.081407
"Cdc42","S1P",2.333333,"Cell 10",1.10283
"Cdc42","S1P",2.333333,"Cell 11",1.048964
"Cdc42","S1P",2.333333,"Cell 12",1.072204
"Cdc42","S1P",2.333333,"Cell 13",1.136723
"Cdc42","S1P",2.333333,"Cell 14",1.136349
"Cdc42","S1P",2.333333,"Cell 15",1.108829
"Cdc42","S1P",2.333333,"Cell 16",1.012091
"Cdc42","S1P",2.333333,"Cell 17",1.015534
"Cdc42","S1P",2.333333,"Cell 18",1.067787
"Cdc42","S1P",2.333333,"Cell 19",1.067833
"Cdc42","S1P",2.333333,"Cell 20",NA
"Cdc42","S1P",2.333333,"Cell 21",NA
"Cdc42","S1P",2.333333,"Cell 22",NA
"Cdc42","S1P",2.333333,"Cell 23",NA
