"id","Time","Cell.1","Cell.2","Cell.3","Cell.4","Cell.5","Cell.6","Cell.7","Cell.8","Cell.9","Cell.10","Cell.11","Cell.12","Cell.13","Cell.14","Cell.15","Cell.16","Cell.17","Cell.18","Cell.19","Cell.20","Cell.21","Cell.22","Cell.23","Cell.24","Cell.25","Cell.26","Cell.27","Cell.28","Cell.29","Cell.30","Cell.31","Cell.32"
"Cdc42_S1P",3.5,1.266294,1.261338,1.045832,1.089467,0.9817998,1.037673,1.023139,1.07729,1.036373,1.080841,1.007535,1.008203,1.07753,1.107061,1.134287,1.034726,1.048515,1.002907,1.000421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",3.666667,1.2762,1.268965,1.040712,1.07257,0.9898524,1.039673,1.02888,1.089851,1.045019,1.086166,1.017716,0.9995766,1.055141,1.114163,1.144823,1.027079,1.042169,0.9973862,1.00569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",3.833333,1.287362,1.282849,1.047905,1.086004,1.000385,1.03141,1.006011,1.095518,1.048235,1.087612,1.027116,0.9916965,1.04163,1.128539,1.15918,1.033196,1.044742,0.9897037,1.004269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",4,1.297668,1.296211,1.045357,1.083229,1.003846,1.008377,0.9874858,1.111735,1.065364,1.099373,1.046958,0.9885249,1.030984,1.139396,1.163398,1.032091,1.042927,0.9881197,1.010007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",4.166667,1.300667,1.294537,1.044042,1.07917,1.014827,0.9934927,0.9777901,1.119804,1.066384,1.099683,1.053437,0.988606,1.028319,1.138944,1.162916,1.033178,1.04327,0.9947624,1.018186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",4.333334,1.290789,1.278446,1.048153,1.079533,1.027962,0.9952123,0.9813895,1.118731,1.06474,1.094807,1.053991,0.9891913,1.025432,1.134588,1.159031,1.033286,1.045162,0.9995714,1.023012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",4.5,1.290077,1.267904,1.048955,1.07348,1.039193,0.9864271,0.9771656,1.121074,1.071196,1.096187,1.057826,0.9983071,1.040496,1.140736,1.160103,1.045068,1.048514,1.000532,1.025026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",4.666667,1.286375,1.255123,1.052843,1.07238,1.043173,0.9996073,0.9890109,1.125562,1.073375,1.095545,1.058849,0.9909235,1.026939,1.136992,1.147777,1.059224,1.060566,1.006307,1.028002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",4.833334,1.280827,1.24184,1.069537,1.088353,1.038783,1.005401,0.9962947,1.115411,1.065648,1.089215,1.054114,0.9934142,1.018529,1.134184,1.137607,1.06501,1.07332,1.012844,1.042391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",5,1.252595,1.21552,1.055352,1.075766,1.048221,1.005088,0.9955457,1.113556,1.067865,1.088405,1.056359,0.9921352,1.022911,1.122094,1.122251,1.058267,1.06506,0.9977744,1.026823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
