"time","Cell","Roundness"
290,"neutro 4",0.57
290,"neutro 5",0.37
290,"neutro 6",0.41
290,"neutro 7",0.26
290,"neutro 8",0.65
290,"neutro 9",0.56
290,"neutro 10",0.41
290,"neutro 11",0.39
290,"neutro 12",0.65
300,"neutro 1",0.31
300,"neutro 2",0.51
300,"neutro 3",0.33
300,"neutro 4",0.55
300,"neutro 5",0.44
300,"neutro 6",0.35
300,"neutro 7",0.27
300,"neutro 8",0.68
300,"neutro 9",0.58
300,"neutro 10",0.4
300,"neutro 11",0.37
300,"neutro 12",0.62
