Tijdstempel,Groep,"Resultaten van de 10 metingen (in µm), van de celkleuring (methyleenblauw)","Resultaten van de 10 metingen (in µm), van de kernkleuring (DAPI)"
16/03/2021 11:24:31,C,"56.322, 36.195, 54.692, 63.989, 59.703, 47.663, 47.139, 60.482, 50.174, 50.405, 58.759 ","10.405, 12.675, 11.370, 10.650, 12.299, 10.915, 12.732, 11.226, 11.320, 10.609 , 10.348, 12,113, 12.579"
17/03/2021 14:23:08,C,"102.89, 72.93, 83.64, 81.10, 90.58, 92.92, 68.32, 59.74, 81.73, 77.07","13.65,9.62,10.17,10.70,11.41,13.36,10.71,12.61,13.51,12.38,10.50,11.40"
17/03/2021 15:22:19,D,"56.913,65.510,71.947,60.102,59.102,61.343,40.443,60.030,58.456,47.414","7.492,9.0535,6.863,9.251,8.786,8.8085,8.274,8.771,9.1105,7.678"
17/03/2021 17:38:21,C,"7.171,6.883,7.086,6.720,6.304,7.541,5.135,6.503,5.219,5.974","1.5,1.3,0.9,1.1,1.3,1,1.3,1.2,1,0.9"
18/03/2021 10:29:52,C,"46,60,84,68,88,82,72,62,64,60","10,12,8,6,12,10,8,10,8,10"
18/03/2021 13:48:29,D,"69,85,53,51,62,55,82,67,53,66,55,55,69,58,61","10,11,10,12,10,11,11,11,9,11,10,13,11,9,11"
18/03/2021 15:45:12,D,"65.9,75.7,84.9,68.3,65.3,67.8,54.3,64.4,51.4,75.4","16.7,12.4,13.6,14.2,14.2,14.7,12.9,12.6	12.2,14.6"
18/03/2021 19:36:41,D,"8.36,6.19,7.51,5.52,9.28,5.57,5.95,9.61,7.20,6.80","1.23,1.53,1.38,1.19,1.03,1.25,1.10,1.53,1.20,1.27"
18/03/2021 21:18:16,C,"70.598, 62.737, 59.13, 76.908, 93.611, 58.205, 76.948, 81.575, 75.365, 79.969","14.909, 10.603, 14.585, 14.702, 13.412, 11.150, 11.862, 12.008, 12.912, 11.578"
19/03/2021 03:10:24,C,"5.5, 7.5,5.8,4.9,7.6,5.9,4.7,5.9,6,5.2","1.3, 1.3, 1,1.2, 1.2, 1.1,1.3,0.9,1.1,1"
