"X","Sample","Slice","CFP","YFP","Ratio","Time"
29,"Cell-01",8,0.974974806852536,0.987283593486146,1.01262472275909,16
30,"Cell-02",8,0.971228275157003,0.993163739866324,1.0225852822353,16
31,"Cell-03",8,0.979007633587786,0.994621529700229,1.01594869700374,16
32,"Cell-04",8,0.97603121516165,0.994955753925992,1.01938927615262,16
33,"Cell-01",9,0.978333893181055,0.98669623059867,1.00854752909605,18
34,"Cell-02",9,0.975609756097561,0.99246486568909,1.01727648733132,18
35,"Cell-03",9,0.977735368956743,0.997502853075106,1.02021762201306,18
36,"Cell-04",9,0.978818283166109,0.996601669151676,1.01816822007865,18
37,"Cell-01",10,0.971615720524018,0.987136752764276,1.01597445565402,20
38,"Cell-02",10,0.974149262450708,0.990622379221835,1.01691025945006,20
39,"Cell-03",10,0.979007633587786,0.997163873854533,1.01854555536019,20
40,"Cell-04",10,0.977146042363434,0.997279398950487,1.02060424513244,20
41,"Cell-01",11,0.973295263688277,0.98669623059867,1.01376865521734,22
42,"Cell-02",11,0.979260990214692,0.987699814480673,1.00861754358675,22
43,"Cell-03",11,0.9764631043257,0.998802273420639,1.02287763766596,22
44,"Cell-04",11,0.974916387959866,1.00052282013051,1.02626525975651,22
45,"Cell-01",12,0.96657709103124,0.981116283167648,1.01504193744225,24
46,"Cell-02",12,0.982181977508398,0.985793793997306,1.00367733940514,24
47,"Cell-03",12,0.979007633587786,0.999819211082361,1.02125782964358,24
48,"Cell-04",12,0.969342251950948,1.00226555389888,1.03396457946785,24
49,"Cell-01",13,0.972455492106147,0.979574455588024,1.00732060597083,26
50,"Cell-02",13,0.988023952095808,0.980647538692216,0.992534175524849,26
51,"Cell-03",13,0.981552162849873,0.993265612817934,1.01193359906014,26
52,"Cell-04",13,0.967670011148272,0.997327808221831,1.03064866817394,26
53,"Cell-01",14,1.01948270070541,0.973921087796068,0.95530908677723,28
54,"Cell-02",14,1.02818752738426,0.970164426033698,0.9435675887859,28
55,"Cell-03",14,1.02162849872774,0.989988813685721,0.969030146397231,28
56,"Cell-04",14,0.998885172798216,0.983337528803516,0.984435003724056,28
57,"Cell-01",15,0.705408128988915,1.55673191289408,2.20685281175509,30
58,"Cell-02",15,0.411128961589017,1.5459096800427,3.76015757699905,30
59,"Cell-03",15,0.402035623409669,1.60461463712274,3.99122501512176,30
60,"Cell-04",15,0.411928651059086,1.5694769862324,3.81006997740316,30
61,"Cell-01",16,0.377897211958347,1.71377806493297,4.53503759938262,32
62,"Cell-02",16,0.37096538630057,1.74299219802282,4.69853054325286,32
63,"Cell-03",16,0.351781170483461,1.96257669404865,5.57897027675314,32
64,"Cell-04",16,0.345596432552954,1.81176538930736,5.24243082002807,32
65,"Cell-01",17,0.402250587840108,1.48500022026108,3.69172914882442,34
66,"Cell-02",17,0.38484007594567,1.48326514015604,3.85423772851932,34
67,"Cell-03",17,0.375318066157761,1.55082993412504,4.132041790584,34
68,"Cell-04",17,0.359531772575251,1.50151036926592,4.17629395730708,34
69,"Cell-01",18,0.440040309035942,1.42237265238396,3.23236899705881,36
70,"Cell-02",18,0.399445012414196,1.44914737350377,3.62790203523961,36
71,"Cell-03",18,0.385496183206107,1.52625394063344,3.95919339055407,36
72,"Cell-04",18,0.38015607580825,1.47188389520361,3.87178842814557,36
73,"Cell-01",19,0.534934497816594,1.32420962981454,2.47546126716351,38
74,"Cell-02",19,0.444720315466628,1.3946987216956,3.1361254999835,38
75,"Cell-03",19,0.424300254452926,1.4732601891504,3.4722114203065,38
