"Time","Cell","Activity","amplitude","rank"
0.6666667,"Cell.16",1.00143,49.7225102,0.580645161290323
0.6666667,"Cell.17",1.000649,49.5812456,0.516129032258065
0.6666667,"Cell.18",1.008841,49.9310024,0.709677419354839
0.6666667,"Cell.19",1.00136,47.4779692,0.193548387096774
0.6666667,"Cell.20",1.00407,47.4997003,0.225806451612903
0.6666667,"Cell.21",0.9980916,47.8125827,0.258064516129032
0.6666667,"Cell.22",1.001899,49.0180877,0.354838709677419
0.6666667,"Cell.23",1.004299,48.0714543,0.290322580645161
0.6666667,"Cell.24",0.9995825,48.5968825,0.32258064516129
0.6666667,"Cell.25",1.000902,46.9078372,0.0967741935483871
0.6666667,"Cell.26",1.002834,49.7401503,0.612903225806452
0.6666667,"Cell.27",1.003107,46.9168102,0.129032258064516
0.6666667,"Cell.28",1.004656,49.1636775,0.451612903225806
0.6666667,"Cell.29",1.007085,44.3182663,0
0.6666667,"Cell.30",0.9995161,46.8093946,0.0645161290322581
0.6666667,"Cell.31",1.00391,45.612368,0.032258064516129
0.6666667,"Cell.32",1.007655,47.128056,0.161290322580645
0.8333333,"Cell.1",0.9941078,50.315458,0.741935483870968
0.8333333,"Cell.2",0.994083,49.0784891,0.387096774193548
0.8333333,"Cell.3",0.999072,49.1608432,0.419354838709677
0.8333333,"Cell.4",1.018123,54.72428,1
0.8333333,"Cell.5",1.011022,53.9923307,0.967741935483871
0.8333333,"Cell.6",1.01394,51.4303486,0.870967741935484
0.8333333,"Cell.7",1.008777,52.5428662,0.935483870967742
0.8333333,"Cell.8",0.9916067,51.187307,0.838709677419355
0.8333333,"Cell.9",1.002531,49.881537,0.67741935483871
0.8333333,"Cell.10",0.9919835,50.8529285,0.806451612903226
0.8333333,"Cell.11",0.9930975,49.7917974,0.645161290322581
0.8333333,"Cell.12",1.001242,50.3284978,0.774193548387097
0.8333333,"Cell.13",1.00258,49.6419659,0.548387096774194
0.8333333,"Cell.14",1.011719,49.4013006,0.483870967741935
0.8333333,"Cell.15",1.008219,51.9740685,0.903225806451613
0.8333333,"Cell.16",1.009275,49.7225102,0.580645161290323
0.8333333,"Cell.17",1.001841,49.5812456,0.516129032258065
0.8333333,"Cell.18",0.9976196,49.9310024,0.709677419354839
0.8333333,"Cell.19",1.000868,47.4779692,0.193548387096774
0.8333333,"Cell.20",1.00131,47.4997003,0.225806451612903
0.8333333,"Cell.21",0.9993777,47.8125827,0.258064516129032
0.8333333,"Cell.22",1.00415,49.0180877,0.354838709677419
0.8333333,"Cell.23",0.9984087,48.0714543,0.290322580645161
0.8333333,"Cell.24",1.001619,48.5968825,0.32258064516129
0.8333333,"Cell.25",1.000709,46.9078372,0.0967741935483871
0.8333333,"Cell.26",1.002236,49.7401503,0.612903225806452
0.8333333,"Cell.27",1.000795,46.9168102,0.129032258064516
0.8333333,"Cell.28",1.007329,49.1636775,0.451612903225806
0.8333333,"Cell.29",1.012891,44.3182663,0
0.8333333,"Cell.30",1.000025,46.8093946,0.0645161290322581
0.8333333,"Cell.31",1.002526,45.612368,0.032258064516129
0.8333333,"Cell.32",0.9998251,47.128056,0.161290322580645
1,"Cell.1",0.9891551,50.315458,0.741935483870968
1,"Cell.2",0.9940727,49.0784891,0.387096774193548
1,"Cell.3",0.9892712,49.1608432,0.419354838709677
1,"Cell.4",1.013736,54.72428,1
1,"Cell.5",1.00627,53.9923307,0.967741935483871
1,"Cell.6",1.008292,51.4303486,0.870967741935484
1,"Cell.7",1.003871,52.5428662,0.935483870967742
1,"Cell.8",1.001209,51.187307,0.838709677419355
1,"Cell.9",1.003463,49.881537,0.67741935483871
1,"Cell.10",0.9993181,50.8529285,0.806451612903226
1,"Cell.11",1.009009,49.7917974,0.645161290322581
1,"Cell.12",1.002762,50.3284978,0.774193548387097
1,"Cell.13",0.9991365,49.6419659,0.548387096774194
1,"Cell.14",0.999292,49.4013006,0.483870967741935
1,"Cell.15",1.002679,51.9740685,0.903225806451613
1,"Cell.16",1.00037,49.7225102,0.580645161290323
1,"Cell.17",1.011243,49.5812456,0.516129032258065
1,"Cell.18",0.9986244,49.9310024,0.709677419354839
1,"Cell.19",1.008688,47.4779692,0.193548387096774
1,"Cell.20",1.016438,47.4997003,0.225806451612903
1,"Cell.21",1.000116,47.8125827,0.258064516129032
1,"Cell.22",1.002627,49.0180877,0.354838709677419
1,"Cell.23",0.9974418,48.0714543,0.290322580645161
1,"Cell.24",1.007266,48.5968825,0.32258064516129
1,"Cell.25",1.002762,46.9078372,0.0967741935483871
1,"Cell.26",1.003663,49.7401503,0.612903225806452
1,"Cell.27",1.005498,46.9168102,0.129032258064516
1,"Cell.28",1.013324,49.1636775,0.451612903225806
1,"Cell.29",1.029736,44.3182663,0
1,"Cell.30",0.9978557,46.8093946,0.0645161290322581
1,"Cell.31",0.9934455,45.612368,0.032258064516129
1,"Cell.32",0.9966897,47.128056,0.161290322580645
1.166667,"Cell.1",0.995262,50.315458,0.741935483870968
1.166667,"Cell.2",0.9991563,49.0784891,0.387096774193548
1.166667,"Cell.3",0.9916536,49.1608432,0.419354838709677
1.166667,"Cell.4",1.01957,54.72428,1
1.166667,"Cell.5",1.009386,53.9923307,0.967741935483871
1.166667,"Cell.6",1.013444,51.4303486,0.870967741935484
1.166667,"Cell.7",1.012397,52.5428662,0.935483870967742
1.166667,"Cell.8",1.002883,51.187307,0.838709677419355
1.166667,"Cell.9",1.003226,49.881537,0.67741935483871
1.166667,"Cell.10",0.9965406,50.8529285,0.806451612903226
1.166667,"Cell.11",0.9961175,49.7917974,0.645161290322581
1.166667,"Cell.12",0.9968045,50.3284978,0.774193548387097
1.166667,"Cell.13",0.9830504,49.6419659,0.548387096774194
1.166667,"Cell.14",1.000038,49.4013006,0.483870967741935
1.166667,"Cell.15",1.008949,51.9740685,0.903225806451613
1.166667,"Cell.16",1.007345,49.7225102,0.580645161290323
1.166667,"Cell.17",1.019251,49.5812456,0.516129032258065
1.166667,"Cell.18",0.998963,49.9310024,0.709677419354839
1.166667,"Cell.19",0.9714673,47.4779692,0.193548387096774
1.166667,"Cell.20",0.980665,47.4997003,0.225806451612903
1.166667,"Cell.21",0.9987534,47.8125827,0.258064516129032
1.166667,"Cell.22",1.003522,49.0180877,0.354838709677419
1.166667,"Cell.23",0.9976545,48.0714543,0.290322580645161
1.166667,"Cell.24",1.006131,48.5968825,0.32258064516129
1.166667,"Cell.25",1.002444,46.9078372,0.0967741935483871
1.166667,"Cell.26",1.005498,49.7401503,0.612903225806452
1.166667,"Cell.27",1.003656,46.9168102,0.129032258064516
1.166667,"Cell.28",1.013394,49.1636775,0.451612903225806
1.166667,"Cell.29",1.03252,44.3182663,0
1.166667,"Cell.30",0.9979929,46.8093946,0.0645161290322581
1.166667,"Cell.31",1.007088,45.612368,0.032258064516129
1.166667,"Cell.32",1.005137,47.128056,0.161290322580645
1.333333,"Cell.1",0.9891461,50.315458,0.741935483870968
1.333333,"Cell.2",0.9900668,49.0784891,0.387096774193548
1.333333,"Cell.3",0.9880781,49.1608432,0.419354838709677
1.333333,"Cell.4",1.017822,54.72428,1
1.333333,"Cell.5",1.009959,53.9923307,0.967741935483871
1.333333,"Cell.6",1.014293,51.4303486,0.870967741935484
1.333333,"Cell.7",1.005852,52.5428662,0.935483870967742
1.333333,"Cell.8",1.003377,51.187307,0.838709677419355
1.333333,"Cell.9",1.005099,49.881537,0.67741935483871
1.333333,"Cell.10",1.008956,50.8529285,0.806451612903226
1.333333,"Cell.11",1.022317,49.7917974,0.645161290322581
1.333333,"Cell.12",1.012501,50.3284978,0.774193548387097
1.333333,"Cell.13",1.011904,49.6419659,0.548387096774194
1.333333,"Cell.14",1.039818,49.4013006,0.483870967741935
1.333333,"Cell.15",1.013318,51.9740685,0.903225806451613
1.333333,"Cell.16",1.008127,49.7225102,0.580645161290323
1.333333,"Cell.17",1.019493,49.5812456,0.516129032258065
1.333333,"Cell.18",1.003905,49.9310024,0.709677419354839
1.333333,"Cell.19",0.9769061,47.4779692,0.193548387096774
1.333333,"Cell.20",0.9756426,47.4997003,0.225806451612903
1.333333,"Cell.21",0.9994678,47.8125827,0.258064516129032
1.333333,"Cell.22",1.004464,49.0180877,0.354838709677419
1.333333,"Cell.23",1.000811,48.0714543,0.290322580645161
1.333333,"Cell.24",1.004022,48.5968825,0.32258064516129
1.333333,"Cell.25",1.0009,46.9078372,0.0967741935483871
1.333333,"Cell.26",1.005264,49.7401503,0.612903225806452
1.333333,"Cell.27",1.004156,46.9168102,0.129032258064516
1.333333,"Cell.28",1.01562,49.1636775,0.451612903225806
1.333333,"Cell.29",1.031041,44.3182663,0
1.333333,"Cell.30",0.9994158,46.8093946,0.0645161290322581
1.333333,"Cell.31",1.010758,45.612368,0.032258064516129
1.333333,"Cell.32",1.01559,47.128056,0.161290322580645
1.5,"Cell.1",1.007669,50.315458,0.741935483870968
1.5,"Cell.2",1.010097,49.0784891,0.387096774193548
1.5,"Cell.3",1.01247,49.1608432,0.419354838709677
1.5,"Cell.4",1.020588,54.72428,1
1.5,"Cell.5",1.012063,53.9923307,0.967741935483871
1.5,"Cell.6",1.011717,51.4303486,0.870967741935484
1.5,"Cell.7",1.019496,52.5428662,0.935483870967742
1.5,"Cell.8",1.004262,51.187307,0.838709677419355
1.5,"Cell.9",1.005247,49.881537,0.67741935483871
1.5,"Cell.10",1.006107,50.8529285,0.806451612903226
1.5,"Cell.11",1.022623,49.7917974,0.645161290322581
1.5,"Cell.12",1.016507,50.3284978,0.774193548387097
1.5,"Cell.13",1.000483,49.6419659,0.548387096774194
1.5,"Cell.14",1.009897,49.4013006,0.483870967741935
1.5,"Cell.15",1.016488,51.9740685,0.903225806451613
