"Wavelength","Fluorescent Protein","Spectrum","Intensity"
514,"mNeonGreen","EM",0.9475
514,"mNeonGreen","EX",0.5931
514,"mScarlet-I","EX",0.2672
515,"mTurquoise2","EM",0.594
515,"mNeonGreen","EM",0.9767
515,"mNeonGreen","EX",0.5229
515,"mScarlet-I","EX",0.276
516,"mTurquoise2","EM",0.572
516,"mNeonGreen","EM",0.9945
516,"mNeonGreen","EX",0.4548
516,"mScarlet-I","EX",0.2858
517,"mTurquoise2","EM",0.553
517,"mNeonGreen","EM",1
517,"mNeonGreen","EX",0.3905
517,"mScarlet-I","EX",0.297
518,"mTurquoise2","EM",0.531
518,"mNeonGreen","EM",0.9928
518,"mNeonGreen","EX",0.3311
518,"mScarlet-I","EX",0.3097
519,"mTurquoise2","EM",0.511
519,"mNeonGreen","EM",0.976
519,"mNeonGreen","EX",0.278
519,"mScarlet-I","EX",0.3237
520,"mTurquoise2","EM",0.494
520,"mNeonGreen","EM",0.954
520,"mNeonGreen","EX",0.2307
520,"mScarlet-I","EX",0.339
520,"miRFP670","EX",0.0572
521,"mTurquoise2","EM",0.476
521,"mNeonGreen","EM",0.924
521,"mNeonGreen","EX",0.1904
521,"mScarlet-I","EX",0.355
521,"miRFP670","EX",0.06
522,"mTurquoise2","EM",0.46
522,"mNeonGreen","EM",0.8887
522,"mNeonGreen","EX",0.1562
522,"mScarlet-I","EX",0.3715
522,"miRFP670","EX",0.0629
523,"mTurquoise2","EM",0.443
523,"mNeonGreen","EM",0.8491
523,"mNeonGreen","EX",0.1271
523,"mScarlet-I","EX",0.3882
523,"miRFP670","EX",0.0657
524,"mTurquoise2","EM",0.43
524,"mNeonGreen","EM",0.8077
524,"mNeonGreen","EX",0.1031
524,"mScarlet-I","EX",0.4045
524,"miRFP670","EX",0.0686
525,"mTurquoise2","EM",0.417
525,"mNeonGreen","EM",0.7647
525,"mNeonGreen","EX",0.0833
525,"mScarlet-I","EX",0.4202
525,"miRFP670","EX",0.0714
526,"mTurquoise2","EM",0.403
526,"mNeonGreen","EM",0.7233
526,"mNeonGreen","EX",0.0675
526,"mScarlet-I","EX",0.4348
526,"miRFP670","EX",0.0743
527,"mTurquoise2","EM",0.391
527,"mNeonGreen","EM",0.6846
527,"mNeonGreen","EX",0.0547
527,"mScarlet-I","EX",0.4478
527,"miRFP670","EX",0.0771
528,"mTurquoise2","EM",0.381
528,"mNeonGreen","EM",0.6481
528,"mNeonGreen","EX",0.0441
528,"mScarlet-I","EX",0.4591
528,"miRFP670","EX",0.08
529,"mTurquoise2","EM",0.371
529,"mNeonGreen","EM",0.6131
529,"mNeonGreen","EX",0.0361
529,"mScarlet-I","EX",0.4686
529,"miRFP670","EX",0.0828
530,"mTurquoise2","EM",0.363
530,"mNeonGreen","EM",0.5814
530,"mNeonGreen","EX",0.0292
530,"mScarlet-I","EX",0.4762
530,"miRFP670","EX",0.0857
531,"mTurquoise2","EM",0.354
531,"mNeonGreen","EM",0.5527
531,"mNeonGreen","EX",0.024
531,"mScarlet-I","EX",0.4823
531,"miRFP670","EX",0.0885
532,"mTurquoise2","EM",0.346
532,"mNeonGreen","EM",0.5236
532,"mNeonGreen","EX",0.0195
532,"mScarlet-I","EX",0.4867
532,"miRFP670","EX",0.0914
533,"mTurquoise2","EM",0.338
533,"mNeonGreen","EM",0.499
533,"mNeonGreen","EX",0.0158
533,"mScarlet-I","EX",0.4898
533,"miRFP670","EX",0.0942
534,"mTurquoise2","EM",0.332
534,"mNeonGreen","EM",0.4767
534,"mNeonGreen","EX",0.013
534,"mScarlet-I","EX",0.4917
534,"miRFP670","EX",0.0979
535,"mTurquoise2","EM",0.326
535,"mNeonGreen","EM",0.4546
535,"mNeonGreen","EX",0.0105
535,"mScarlet-I","EX",0.4928
535,"miRFP670","EX",0.1015
536,"mTurquoise2","EM",0.318
536,"mNeonGreen","EM",0.4336
536,"mNeonGreen","EX",0.0089
536,"mScarlet-I","EX",0.4933
536,"miRFP670","EX",0.1052
537,"mTurquoise2","EM",0.313
537,"mNeonGreen","EM",0.4145
537,"mNeonGreen","EX",0.0072
537,"mScarlet-I","EX",0.4937
537,"miRFP670","EX",0.1089
538,"mTurquoise2","EM",0.306
538,"mNeonGreen","EM",0.3973
538,"mNeonGreen","EX",0.0059
538,"mScarlet-I","EX",0.4945
538,"miRFP670","EX",0.1126
539,"mTurquoise2","EM",0.299
539,"mNeonGreen","EM",0.3816
539,"mNeonGreen","EX",0.0049
539,"mScarlet-I","EM",0.0047
539,"mScarlet-I","EX",0.4956
539,"miRFP670","EX",0.1163
540,"mTurquoise2","EM",0.294
540,"mNeonGreen","EM",0.3671
540,"mNeonGreen","EX",0.0043
540,"mScarlet-I","EM",0.0041
540,"mScarlet-I","EX",0.4971
540,"miRFP670","EX",0.12
541,"mTurquoise2","EM",0.288
541,"mNeonGreen","EM",0.3554
541,"mNeonGreen","EX",0.0033
541,"mScarlet-I","EM",0.0038
541,"mScarlet-I","EX",0.4989
541,"miRFP670","EX",0.1237
