"Experimental day","Replicate no.","Neutrophil no.","Batch no. neutrophils","Stage","dF/F0","Calcium (uM)","Replicate","n","mean","n_rep","mean_rep","sd_rep","sem","95%CI_lo","95%CI_hi"
2,5,10,3,"post-diapedesis","0.105293527246088",0.0480719218019847,"3",122,0.0407269586361727,4,0.0345496919402026,0.00550891047066277,0.0031805709431787,0.0244276956933909,0.0446716881870144
2,5,10,3,"post-diapedesis","0.150318775693488",0.0412028104219704,"3",122,0.0407269586361727,4,0.0345496919402026,0.00550891047066277,0.0031805709431787,0.0244276956933909,0.0446716881870144
2,5,11,3,"before","4.0586684613121999E-3",0.0346534300811245,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-4.4418606579616901E-3",0.0288168796366942,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","3.8319219664948801E-4",0.0364083551960386,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-6.1698600203692402E-3",0.0360262952364834,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-1.81094680955277E-2",0.0371947375335721,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-1.08250619851033E-2",0.0338874874843216,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-1.9572533327123501E-2",0.0348891983876955,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-1.9709200417551E-2",0.0390420082005471,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-2.7854835865686201E-2",0.0370025011462707,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-2.8196027161391201E-2",0.0317436671244541,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-2.66611729223168E-2",0.0369736079843122,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-2.1551585429689199E-2",0.0368507802367361,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-2.95632347208892E-2",0.0312355199280223,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-3.0471946039863598E-2",0.0295901848947604,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-3.5536315498341103E-2",0.0260837342022504,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-2.8336566798071498E-2",0.0345896002912903,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-2.1997928157105402E-2",0.0316120537342924,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-2.0704118204225099E-2",0.0337218375287261,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","-9.2566071554188393E-3",0.0319171971156452,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","2.8208955040588998E-2",0.0315353716943272,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","4.2398387939301403E-2",0.0379770585954043,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","5.4776832206184699E-2",0.03680062694204,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","7.12467116823782E-2",0.0355893138111293,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","7.6222730004449499E-2",0.0364558702418342,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","8.3907069195379894E-2",0.0364136939751646,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","7.4450704025433995E-2",0.033111702484365,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","7.3231423555118899E-2",0.034011709157669,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","7.7126258276440401E-2",0.0338079902732267,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","7.8126537734880999E-2",0.0354556483728307,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","6.5939332089001504E-2",0.0360161733290248,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","5.5654146949631403E-2",0.0287834053302272,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","5.0947411832597801E-2",0.0340748174559668,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","5.3017079018683501E-2",0.03719875442867,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","4.9875402908272998E-2",0.0356362697599525,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","4.3715134680853203E-2",0.0368398441547526,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","3.9769302876799598E-2",0.0404378084458493,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"before","3.3543262856860399E-2",0.0348428882969805,"3",56,0.035795324227333,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
2,5,11,3,"crawling","8.1114696761398597E-2",0.0394293981512033,"3",42,0.0363622582831287,4,0.0317360323323344,0.00338681257062597,0.00195537714934571,0.0255131495479629,0.0379589151167058
2,5,11,3,"crawling","6.3861769292020504E-2",0.0297536976062275,"3",42,0.0363622582831287,4,0.0317360323323344,0.00338681257062597,0.00195537714934571,0.0255131495479629,0.0379589151167058
2,5,11,3,"crawling","2.1837866870473101E-2",0.02070684531952,"3",42,0.0363622582831287,4,0.0317360323323344,0.00338681257062597,0.00195537714934571,0.0255131495479629,0.0379589151167058
2,5,11,3,"crawling","-9.1945304014423006E-3",0.0452749791460894,"3",42,0.0363622582831287,4,0.0317360323323344,0.00338681257062597,0.00195537714934571,0.0255131495479629,0.0379589151167058
2,5,11,3,"crawling","-2.01009708457369E-2",0.0340281173118692,"3",42,0.0363622582831287,4,0.0317360323323344,0.00338681257062597,0.00195537714934571,0.0255131495479629,0.0379589151167058
2,5,11,3,"crawling","-1.6925660533665399E-2",0.0331856253813932,"3",42,0.0363622582831287,4,0.0317360323323344,0.00338681257062597,0.00195537714934571,0.0255131495479629,0.0379589151167058
2,5,11,3,"crawling","-3.7552017477831198E-2",0.0238195198710121,"3",42,0.0363622582831287,4,0.0317360323323344,0.00338681257062597,0.00195537714934571,0.0255131495479629,0.0379589151167058
2,5,11,3,"diapedesis","-1.41020009789926E-2",0.0357328752023276,"3",9,0.0412217877675405,4,0.0309196152531278,0.00861262894522535,0.00497250363995622,0.0150948894161394,0.0467443410901163
2,5,11,3,"post-diapedesis","3.6230249944192897E-2",0.0418570964552622,"3",122,0.0407269586361727,4,0.0345496919402026,0.00550891047066277,0.0031805709431787,0.0244276956933909,0.0446716881870144
