"System","Order","YFP","CFP"
" Dual-promotor","CFP first",889.89,1096.9
" Dual-promotor","CFP first",894.88,638.7
" Dual-promotor","CFP first",895.3,1700.1
" Dual-promotor","CFP first",895.73,643.07
" Dual-promotor","CFP first",905.1,785.27
" Dual-promotor","CFP first",909.9,2031.6
" Dual-promotor","CFP first",914.53,673.84
" Dual-promotor","CFP first",916.15,1270.1
" Dual-promotor","CFP first",916.95,986.22
" Dual-promotor","CFP first",917.54,780.37
" Dual-promotor","CFP first",926.94,1921.2
" Dual-promotor","CFP first",943.16,694.48
" Dual-promotor","CFP first",956.2,918.84
" Dual-promotor","CFP first",958.89,921.95
" Dual-promotor","CFP first",964.65,539.06
" Dual-promotor","CFP first",978.09,1594
" Dual-promotor","CFP first",981.55,1723.2
" Dual-promotor","CFP first",988.12,872.76
" Dual-promotor","CFP first",993.94,1398.2
" Dual-promotor","CFP first",996.71,941.75
" Dual-promotor","CFP first",1012.9,1848.9
" Dual-promotor","CFP first",1016.1,1212
" Dual-promotor","CFP first",1034.8,1222.6
" Dual-promotor","CFP first",1050.5,2035.1
" Dual-promotor","CFP first",1055.3,1191.7
" Dual-promotor","CFP first",1063.2,1899.3
" Dual-promotor","CFP first",1065.7,1403.5
" Dual-promotor","CFP first",1082.9,1153.2
" Dual-promotor","CFP first",1094.1,1291.5
" Dual-promotor","CFP first",1100.8,1803.7
" Dual-promotor","CFP first",1106.3,1545.4
" Dual-promotor","CFP first",1107.1,1367
" Dual-promotor","CFP first",1125.2,399.32
" Dual-promotor","CFP first",1128.2,2118.3
" Dual-promotor","CFP first",1134.2,1002.4
" Dual-promotor","CFP first",1135.6,1231.3
" Dual-promotor","CFP first",1136.5,955.63
" Dual-promotor","CFP first",1149.3,1530.8
" Dual-promotor","CFP first",1162.4,1566.2
" Dual-promotor","CFP first",1168,1470
" Dual-promotor","CFP first",1175.4,1225.5
" Dual-promotor","CFP first",1188.6,857.41
" Dual-promotor","CFP first",1202.2,1323.2
" Dual-promotor","CFP first",1209.7,537.04
" Dual-promotor","CFP first",1227.9,925.16
" Dual-promotor","CFP first",1239.9,1371.5
" Dual-promotor","CFP first",1286.5,1087.3
" Dual-promotor","CFP first",1293.4,1429.4
" Dual-promotor","CFP first",1297.7,1558.1
" Dual-promotor","CFP first",1305.2,1336.3
" Dual-promotor","CFP first",1310.9,423.65
" Dual-promotor","CFP first",1317.8,1396.9
" Dual-promotor","CFP first",1324.4,1600.8
" Dual-promotor","CFP first",1337.1,592.1
" Dual-promotor","CFP first",1338.9,1375.9
" Dual-promotor","CFP first",1344.3,1715.4
" Dual-promotor","CFP first",1346.5,1403.4
" Dual-promotor","CFP first",1360.8,1300.9
" Dual-promotor","CFP first",1365.8,1680.3
" Dual-promotor","CFP first",1367.5,1921.6
" Dual-promotor","CFP first",1403.8,1688.6
" Dual-promotor","CFP first",1411.7,974.78
" Dual-promotor","CFP first",1428.2,1848.5
" Dual-promotor","CFP first",1443.2,1934.8
" Dual-promotor","CFP first",1464.4,2718.6
" Dual-promotor","CFP first",1467.1,1895.3
" Dual-promotor","CFP first",1510.8,1483.1
" Dual-promotor","CFP first",1523.7,2290.1
" Dual-promotor","CFP first",1525.6,2043.3
" Dual-promotor","CFP first",1540.2,1938.9
" Dual-promotor","CFP first",1542.9,1609.1
" Dual-promotor","CFP first",1559.1,1728.3
" Dual-promotor","CFP first",1571.8,2556.4
" Dual-promotor","CFP first",1585.7,1235.6
" Dual-promotor","CFP first",1645.5,2326.3
" Dual-promotor","CFP first",1669,1596.8
" Dual-promotor","CFP first",1682.9,1441.3
" Dual-promotor","CFP first",1704.9,1737.7
" Dual-promotor","CFP first",1749.5,1244.2
" Dual-promotor","CFP first",1788.2,2044
" Dual-promotor","CFP first",1847.3,1422.9
" Dual-promotor","CFP first",1863.7,3020.1
" Dual-promotor","CFP first",1908,3145.9
" Dual-promotor","CFP first",1934.2,1530.9
" Dual-promotor","CFP first",1999.3,1763.4
" Dual-promotor","CFP first",2117.2,2007.1
" Dual-promotor","CFP first",2130,2280.7
" Dual-promotor","CFP first",2594.7,3667.1
" Dual-promotor","CFP first",61.635,28.863
" Dual-promotor","CFP first",98.332,103.39
" Dual-promotor","CFP first",98.736,124.97
" Dual-promotor","CFP first",108.18,116.33
" Dual-promotor","CFP first",112.36,50.057
" Dual-promotor","CFP first",115.84,106.8
" Dual-promotor","CFP first",118.76,125.67
" Dual-promotor","CFP first",120.68,83.794
" Dual-promotor","CFP first",120.75,66.338
" Dual-promotor","CFP first",121.31,151.02
" Dual-promotor","CFP first",126.19,91.679
" Dual-promotor","CFP first",136.62,73.271
" Dual-promotor","CFP first",137.19,216.29
" Dual-promotor","CFP first",137.29,137.6
" Dual-promotor","CFP first",138.13,230.55
" Dual-promotor","CFP first",139.96,86.166
" Dual-promotor","CFP first",142.04,188.29
" Dual-promotor","CFP first",145.13,131.05
" Dual-promotor","CFP first",156.11,233.42
" Dual-promotor","CFP first",158.3,90.68
" Dual-promotor","CFP first",159.69,189.5
" Dual-promotor","CFP first",164.46,494.93
" Dual-promotor","CFP first",168.14,214.36
" Dual-promotor","CFP first",169.93,160.91
" Dual-promotor","CFP first",179.02,792.34
" Dual-promotor","CFP first",179.25,125.96
" Dual-promotor","CFP first",179.38,123.8
" Dual-promotor","CFP first",181.38,101.73
" Dual-promotor","CFP first",181.91,73.095
" Dual-promotor","CFP first",183.74,83.957
" Dual-promotor","CFP first",192.21,264.88
" Dual-promotor","CFP first",192.24,259.87
" Dual-promotor","CFP first",194.71,393.15
" Dual-promotor","CFP first",198.6,153.05
" Dual-promotor","CFP first",214.3,1400.7
" Dual-promotor","CFP first",214.79,360.61
" Dual-promotor","CFP first",216.36,857.36
" Dual-promotor","CFP first",222.55,240.28
" Dual-promotor","CFP first",225.23,273.98
" Dual-promotor","CFP first",226.02,123.55
" Dual-promotor","CFP first",226.07,324.67
" Dual-promotor","CFP first",226.86,493.73
" Dual-promotor","CFP first",228.25,119.09
" Dual-promotor","CFP first",229.76,321.11
" Dual-promotor","CFP first",232.65,427.56
" Dual-promotor","CFP first",232.75,433.13
" Dual-promotor","CFP first",235,127.5
" Dual-promotor","CFP first",237.48,261.41
" Dual-promotor","CFP first",242.87,407.03
" Dual-promotor","CFP first",244.15,397.48
" Dual-promotor","CFP first",245.31,923.3
" Dual-promotor","CFP first",247.23,1756.5
" Dual-promotor","CFP first",248.9,347.21
" Dual-promotor","CFP first",249.5,229.33
" Dual-promotor","CFP first",249.5,153.81
" Dual-promotor","CFP first",250.51,137.96
" Dual-promotor","CFP first",250.96,310.97
" Dual-promotor","CFP first",253.85,500.64
