"","day","month","year","Time","Group","Analysis","S_phase"
"194",14,3,2023,"18:45:59","B","automated",35.1
"195",14,3,2023,"21:40:25","B","manual",28.57
"196",14,3,2023,"21:40:25","B","automated",28.19
"197",14,3,2023,"21:58:04","B","manual",39.7
"198",14,3,2023,"21:58:04","B","automated",40.7
"199",14,3,2023,"22:55:39","B","manual",48
"200",14,3,2023,"22:55:39","B","automated",25
"201",23,3,2023,"15:55:39","D","manual",16.81
"202",23,3,2023,"15:55:39","D","automated",18.35
"203",23,3,2023,"16:15:23","D","manual",22
"204",23,3,2023,"16:15:23","D","automated",39
"205",24,3,2023,"11:09:54","C","manual",29.8
"206",24,3,2023,"11:09:54","C","automated",35
"207",24,3,2023,"15:48:16","D","manual",13.6
"208",24,3,2023,"15:48:16","D","automated",16.7
"209",25,3,2023,"17:04:45","D","manual",25
"210",25,3,2023,"17:04:45","D","automated",20
"211",25,3,2023,"18:56:45","D","manual",25.44
"212",25,3,2023,"18:56:45","D","automated",25.45
"213",25,3,2023,"19:13:34","D","manual",23.74
"214",25,3,2023,"19:13:34","D","automated",52.9
"215",26,3,2023,"15:57:10","D","manual",27
"216",26,3,2023,"15:57:10","D","automated",31
"217",28,3,2023,"10:37:57","A","manual",35
"218",28,3,2023,"10:37:57","A","automated",34
"219",28,3,2023,"10:42:12","D","manual",26.3
"220",28,3,2023,"10:42:12","D","automated",25.9
"221",28,3,2023,"12:09:46","C","manual",16.5
"222",28,3,2023,"12:09:46","C","automated",16.5
"223",28,3,2023,"12:24:24","D","manual",23
"224",28,3,2023,"12:24:24","D","automated",26
"225",28,3,2023,"13:02:54","C","manual",38.4
"226",28,3,2023,"13:02:54","C","automated",42.5
"227",28,3,2023,"13:26:25","C","manual",45.57
"228",28,3,2023,"13:26:25","C","automated",44.76
"229",28,3,2023,"20:32:32","C","manual",31
"230",28,3,2023,"20:32:32","C","automated",32
"231",1,4,2023,"16:17:13","C","manual",33
"232",1,4,2023,"16:17:13","C","automated",37
"233",9,3,2024,"15:38:59","A","manual",45.5
"234",9,3,2024,"15:38:59","A","automated",54
"235",10,3,2024,"19:12:49","A","manual",61
"236",10,3,2024,"19:12:49","A","automated",63
"237",11,3,2024,"14:31:36","B","manual",24.48
"238",11,3,2024,"14:31:36","B","automated",24.35
"239",11,3,2024,"16:57:45","A","manual",43.27
"240",11,3,2024,"16:57:45","A","automated",50.85
"241",11,3,2024,"19:06:47","B","manual",29.2
"242",11,3,2024,"19:06:47","B","automated",35.85
"243",11,3,2024,"20:53:15","A","manual",40
"244",11,3,2024,"20:53:15","A","automated",40
"245",11,3,2024,"21:43:46","A","manual",44
"246",11,3,2024,"21:43:46","A","automated",29
"247",12,3,2024,"12:06:13","B","manual",28.13
"248",12,3,2024,"12:06:13","B","automated",26.42
"249",12,3,2024,"12:06:45","A","manual",36.79
"250",12,3,2024,"12:06:45","A","automated",36.11
"251",12,3,2024,"16:59:31","B","manual",46
"252",12,3,2024,"16:59:31","B","automated",40
"253",12,3,2024,"17:05:53","A","manual",39.2
"254",12,3,2024,"17:05:53","A","automated",39.7
"255",12,3,2024,"17:35:36","B","manual",52
"256",12,3,2024,"17:35:36","B","automated",41.5
"257",12,3,2024,"19:26:51","D","manual",12.3
"258",12,3,2024,"19:26:51","D","automated",12.8
"259",12,3,2024,"21:05:06","A","manual",72
"260",12,3,2024,"21:05:06","A","automated",83
"261",12,3,2024,"21:36:17","B","manual",28.9
"262",12,3,2024,"21:36:17","B","automated",31.9
"263",12,3,2024,"22:23:43","B","manual",27.03
"264",12,3,2024,"22:23:43","B","automated",28.45
"265",19,3,2024,"14:47:44","C","manual",51.35
"266",19,3,2024,"14:47:44","C","automated",46.67
"267",22,3,2024,"10:54:16","D","manual",27
"268",22,3,2024,"10:54:16","D","automated",27
"269",22,3,2024,"12:40:20","C","manual",39
"270",22,3,2024,"12:40:20","C","automated",39
"271",22,3,2024,"15:29:30","C","manual",24.5
"272",22,3,2024,"15:29:30","C","automated",28.8
"273",23,3,2024,"17:41:05","C","manual",29.03
"274",23,3,2024,"17:41:05","C","automated",29.24
"275",24,3,2024,"13:31:47","C","manual",28.9
"276",24,3,2024,"13:31:47","C","automated",20.6
"277",24,3,2024,"15:04:08","C","manual",29.41
"278",24,3,2024,"15:04:08","C","automated",29.3
"279",24,3,2024,"15:48:26","D","manual",23.2
"280",24,3,2024,"15:48:26","D","automated",24.8
"281",24,3,2024,"21:29:10","C","manual",32.5
"282",24,3,2024,"21:29:10","C","automated",34.5
"283",24,3,2024,"21:44:48","C","manual",38
"284",24,3,2024,"21:44:48","C","automated",29
"285",25,3,2024,"0:57:02","D","manual",32.16
"286",25,3,2024,"0:57:02","D","automated",32.06
"287",7,3,2025,"16:06:55","A","manual",38.7
"288",7,3,2025,"16:06:55","A","automated",38.7
"289",9,3,2025,"17:00:23","A","manual",36
"290",9,3,2025,"17:00:23","A","automated",48
"291",10,3,2025,"15:12:14","A","manual",43.6
"292",10,3,2025,"15:12:14","A","automated",41
"293",10,3,2025,"19:34:43","A","manual",40
"294",10,3,2025,"19:34:43","A","automated",47
"295",11,3,2025,"19:33:10","A","manual",38.75
"296",11,3,2025,"19:33:10","A","automated",43.43
"297",11,3,2025,"21:17:11","B","manual",52.7
"298",11,3,2025,"21:17:11","B","automated",50.9
"299",11,3,2025,"21:44:42","B","manual",42
"300",11,3,2025,"21:44:42","B","automated",50
"301",11,3,2025,"22:04:23","B","manual",39
"302",11,3,2025,"22:04:23","B","automated",52
"303",11,3,2025,"22:52:15","A","manual",41
"304",11,3,2025,"22:52:15","A","automated",54
"305",11,3,2025,"23:25:55","B","manual",52.7
"306",11,3,2025,"23:25:55","B","automated",50.9
"307",20,3,2025,"14:41:28","C","manual",46.7
"308",20,3,2025,"14:41:28","C","automated",47.6
"309",21,3,2025,"11:35:27","D","manual",20
"310",21,3,2025,"11:35:27","D","automated",23
"311",21,3,2025,"22:17:58","D","manual",56.73
"312",21,3,2025,"22:17:58","D","automated",54.13
"313",22,3,2025,"23:12:19","C","manual",46.08
"314",22,3,2025,"23:12:19","C","automated",44.33
"315",23,3,2025,"16:50:49","C","manual",30
"316",23,3,2025,"16:50:49","C","automated",28
"317",23,3,2025,"20:13:10","C","manual",54
"318",23,3,2025,"20:13:10","C","automated",55
"319",23,3,2025,"21:11:45","D","manual",41.59
"320",23,3,2025,"21:11:45","D","automated",42.85
"321",23,3,2025,"21:20:09","C","manual",67
"322",23,3,2025,"21:20:09","C","automated",76
"323",23,3,2025,"22:48:50","C","manual",46.15
"324",23,3,2025,"22:48:50","C","automated",50
"325",23,3,2025,"22:53:33","C","manual",46.8
"326",23,3,2025,"22:53:33","C","automated",46.1
"327",23,3,2025,"22:54:02","C","manual",46.8
"328",23,3,2025,"22:54:02","C","automated",46.1
"329",24,3,2025,"0:20:14","C","manual",31.58
"330",24,3,2025,"0:20:14","C","automated",34.85
"331",29,3,2025,"20:22:59","B","manual",40.5
"332",29,3,2025,"20:22:59","B","automated",36.5
