 ,Label,Mean,Slice
122,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t31,222.91,31
123,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t31,246.78,31
124,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t31,272.88,31
125,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t32,176.45,32
126,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t32,218.97,32
127,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t32,247.09,32
128,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t32,279.56,32
129,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t33,165.23,33
130,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t33,211.25,33
131,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t33,242.71,33
132,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t33,282.46,33
133,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t34,170.92,34
134,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t34,211.74,34
135,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t34,234.64,34
136,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t34,281.78,34
137,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t35,184.55,35
138,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t35,218.46,35
139,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t35,227.89,35
140,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t35,275.05,35
141,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t36,193.98,36
142,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t36,224.99,36
143,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t36,226.51,36
144,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t36,268.77,36
145,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t37,193.09,37
146,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t37,225.55,37
147,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t37,231.69,37
148,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t37,270.80,37
149,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t38,184.60,38
150,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t38,220.43,38
151,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t38,243.42,38
152,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t38,270.30,38
153,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t39,176.91,39
154,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t39,213.38,39
155,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t39,252.90,39
156,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t39,273.90,39
157,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t40,174.38,40
158,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t40,209.21,40
159,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t40,252.71,40
160,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t40,280.79,40
161,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t41,180.37,41
162,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t41,217.88,41
163,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t41,244.32,41
164,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t41,284.96,41
165,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t42,192.35,42
166,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t42,227.15,42
