ID,Material,Requesting Country,Date Ordered
36208,pmTurquoise2-Mito,TAIWAN,11/13/2014
36207,pmTurquoise2-H2A,CHINA,11/13/2014
36208,pmTurquoise2-Mito,CHINA,11/13/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,11/12/2014
36204,pmTurquoise2-ER,UNITED STATES,11/12/2014
36205,pmTurquoise2-Golgi,UNITED STATES,11/12/2014
22880,pSBFP2-C1,JAPAN,11/11/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,11/10/2014
36204,pmTurquoise2-ER,SINGAPORE,11/10/2014
36204,pmTurquoise2-ER,"KOREA, REPUBLIC OF",11/09/2014
36204,pmTurquoise2-ER,FRANCE,11/07/2014
22880,pSBFP2-C1,JAPAN,11/07/2014
36201,pLifeAct-mTurquoise2,SWEDEN,11/06/2014
36202,pmTurquoise2-Tubulin,SWEDEN,11/06/2014
36205,pmTurquoise2-Golgi,UNITED STATES,11/06/2014
36207,pmTurquoise2-H2A,UNITED STATES,11/06/2014
36209,pPalmitoyl-mTurquoise2,GERMANY,11/05/2014
36203,pmTurquoise2-Peroxi,GERMANY,11/05/2014
36202,pmTurquoise2-Tubulin,UNITED STATES,11/03/2014
36203,pmTurquoise2-Peroxi,UNITED STATES,11/03/2014
36207,pmTurquoise2-H2A,UNITED STATES,11/03/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,11/03/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,10/29/2014
36207,pmTurquoise2-H2A,UNITED STATES,10/28/2014
36207,pmTurquoise2-H2A,GERMANY,10/27/2014
36208,pmTurquoise2-Mito,FRANCE,10/27/2014
36204,pmTurquoise2-ER,FRANCE,10/24/2014
36208,pmTurquoise2-Mito,FRANCE,10/24/2014
36209,pPalmitoyl-mTurquoise2,JAPAN,10/23/2014
22880,pSBFP2-C1,UNITED STATES,10/22/2014
36203,pmTurquoise2-Peroxi,UNITED KINGDOM,10/22/2014
36204,pmTurquoise2-ER,UNITED KINGDOM,10/22/2014
36205,pmTurquoise2-Golgi,UNITED KINGDOM,10/22/2014
36208,pmTurquoise2-Mito,UNITED KINGDOM,10/22/2014
36205,pmTurquoise2-Golgi,DENMARK,10/20/2014
22880,pSBFP2-C1,UNITED STATES,10/17/2014
36207,pmTurquoise2-H2A,HONG KONG,10/16/2014
36208,pmTurquoise2-Mito,UNITED STATES,10/16/2014
36208,pmTurquoise2-Mito,GERMANY,10/16/2014
36208,pmTurquoise2-Mito,UNITED STATES,10/15/2014
36204,pmTurquoise2-ER,CANADA,10/14/2014
36208,pmTurquoise2-Mito,UNITED STATES,10/07/2014
36208,pmTurquoise2-Mito,CANADA,10/07/2014
36209,pPalmitoyl-mTurquoise2,CANADA,10/07/2014
36205,pmTurquoise2-Golgi,UNITED STATES,10/06/2014
36208,pmTurquoise2-Mito,UNITED STATES,10/06/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,10/06/2014
36204,pmTurquoise2-ER,UNITED STATES,10/06/2014
36205,pmTurquoise2-Golgi,UNITED STATES,10/06/2014
36208,pmTurquoise2-Mito,UNITED STATES,10/06/2014
22878,pSYFP2-C1,ITALY,10/03/2014
22880,pSBFP2-C1,UNITED STATES,10/02/2014
36209,pPalmitoyl-mTurquoise2,"KOREA, REPUBLIC OF",10/02/2014
36203,pmTurquoise2-Peroxi,CHINA,09/29/2014
