BCY_YFP,BCY_CFP,BYC_YFP,BYC_CFP,TCY_YFP,TCY_CFP,TYC_YFP,TYC_CFP,IYC_YFP,IYC_CFP,ICY_YFP,ICY_CFP
468.81,517.61,468.81,517.61,483.37,559.82,482.8,578.12,1101.3,508.58,581.66,2438
469.83,752.54,469.83,752.54,487.45,506.03,483.05,581.58,1102.8,520.86,505.69,2454.3
471.5,516.81,471.5,516.81,488.02,658.8,485.22,543.11,1107.1,469.97,488.58,2455.9
471.97,703.82,471.97,703.82,489.08,552.39,486.66,582.74,1108.7,486.01,577.84,2503.4
474.87,818.6,474.87,818.6,489.77,517.4,487.18,499.04,1122.4,317.73,743.27,2515.1
477.27,988.21,477.27,988.21,490.98,599.34,487.96,383.31,1128.2,415.18,463.98,2532.8
477.76,538.77,477.76,538.77,494.96,545.7,489.55,578.67,1128.5,573.11,565.4,2535.6
478.53,907.62,478.53,907.62,499.6,578.7,490.17,535.15,1129.3,449.99,529.24,2554.2
479.4,967.18,479.4,967.18,502.87,665.54,491.72,630.97,1138.2,476.66,588.04,2575.6
480.43,686.47,480.43,686.47,505.71,638.93,493.49,600.55,1167.9,568.46,604.34,2579
481.69,749.08,481.69,749.08,511.38,784.09,494.58,573.72,1171.2,451.01,637.17,2579.8
482.34,241.72,482.34,241.72,511.47,545.43,496.44,613.56,1172.4,406.99,613.73,2648.5
485.26,344.13,485.26,344.13,513.14,624.13,501.42,599.58,1178.1,332.07,556.72,2649.8
489.47,499.83,489.47,499.83,515.6,754.91,503.04,539.23,1183.7,518.88,676.54,2663
492.01,373.56,492.01,373.56,517.78,656.64,505.14,650.45,1189.8,517.9,604.23,2665.7
494.76,706.98,494.76,706.98,519.22,622.65,506.56,595.82,1189.8,542.16,592.34,2669.9
495.98,812.03,495.98,812.03,519.59,594.43,507.04,654.63,1195.2,544.28,542.26,2685.9
496.93,793.73,496.93,793.73,523.32,620.06,507.67,667.11,1206.7,517.89,545.13,2693.4
499.73,683.82,499.73,683.82,523.77,563.72,509.07,676.61,1208.5,509.83,680.73,2700.7
502.01,769.64,502.01,769.64,524.6,716.05,509.32,615.61,1208.8,650.99,616.7,2701.3
503.85,997.95,503.85,997.95,525.28,688.54,509.77,612.76,1209.4,475.79,613.44,2708.4
