"LMC","construct","glass","state","cell","GFP","RFP","norm_ratio","day"
4457,"G-Ca-FLITS","g2","post",8,1397.07538,2307.417472,0.276979968,1
4457,"G-Ca-FLITS","g2","post",10,2883.65422,4185.629157,0.316195632,1
4457,"G-Ca-FLITS","g2","post",11,937.596575,1479.504039,0.290253278,1
4457,"G-Ca-FLITS","g2","post",12,1851.445685,2880.796875,0.294463628,1
4457,"G-Ca-FLITS","g2","post",15,995.247263,1448.634732,0.315294834,1
4457,"G-Ca-FLITS","g2","post",16,1099.926469,1559.180433,0.323952322,1
4457,"G-Ca-FLITS","g2","post",17,5096.920021,7674.494565,0.304542265,1
4457,"G-Ca-FLITS","g2","post",18,1723.917352,2707.473971,0.291663572,1
4457,"G-Ca-FLITS","g2","post",19,920.8277056,1481.506451,0.284533104,1
4457,"G-Ca-FLITS","g2","post",20,1390.331543,2135.396455,0.298411491,1
4457,"G-Ca-FLITS","g2","post",21,1197.316503,1790.213937,0.306738382,1
4457,"G-Ca-FLITS","g2","post",22,1778.011224,2806.055815,0.290211007,1
4457,"G-Ca-FLITS","g2","post",23,1503.778598,2388.402808,0.288323865,1
4457,"G-Ca-FLITS","g2","post",24,1233.343157,2041.338236,0.276374936,1
4457,"G-Ca-FLITS","g2","post",25,5100.500972,7889.201916,0.296263712,1
4457,"G-Ca-FLITS","g2","post",26,5427.528645,9172.773774,0.270509838,1
4457,"G-Ca-FLITS","g2","post",27,1356.774016,2171.671733,0.286042131,1
4457,"G-Ca-FLITS","g2","post",28,7761.905341,10802.32317,0.330101601,1
4457,"G-Ca-FLITS","g2","post",29,1762.650352,2881.549916,0.279907269,1
4457,"G-Ca-FLITS","g2","post",30,1632.384818,2413.602423,0.310269132,1
4457,"G-Ca-FLITS","g2","post",31,1858.893412,2808.534678,0.303478365,1
4457,"G-Ca-FLITS","g2","post",32,7510.037287,12432.24581,0.27632497,1
4457,"G-Ca-FLITS","g2","post",33,5065.419008,8192.674472,0.283000634,1
4457,"G-Ca-FLITS","g2","post",34,2444.524291,3568.415517,0.314364806,1
4457,"G-Ca-FLITS","g2","post",35,991.1422701,1507.297407,0.301453205,1
4457,"G-Ca-FLITS","g2","post",36,1476.287973,2166.644882,0.312638601,1
4457,"G-Ca-FLITS","g2","post",37,3134.378334,4665.734836,0.308135933,1
4457,"G-Ca-FLITS","g2","post",38,1421.29635,2271.767935,0.286452893,1
4457,"G-Ca-FLITS","g2","post",39,2115.051196,3294.221146,0.294164675,1
4457,"G-Ca-FLITS","g2","post",40,1855.782694,3116.911423,0.272244266,1
4457,"G-Ca-FLITS","g2","post",41,1685.734791,2394.475917,0.323274954,1
4457,"G-Ca-FLITS","g2","post",42,4412.763341,7325.799899,0.27551781,1
4457,"G-Ca-FLITS","g2","post",44,1208.381967,1477.468726,0.376769751,1
4457,"G-Ca-FLITS","g2","post",45,1127.94939,1716.244739,0.301292019,1
4457,"G-Ca-FLITS","g2","post",46,2073.797223,3506.46988,0.27037848,1
4457,"G-Ca-FLITS","g2","post",47,2262.516752,3617.660798,0.286346846,1
4457,"G-Ca-FLITS","g2","post",48,1395.724809,2155.690073,0.296707253,1
4457,"G-Ca-FLITS","g2","post",49,4914.825269,8185.209191,0.274621755,1
4457,"G-Ca-FLITS","g2","post",50,3600.44052,5594.609241,0.294872395,1
4457,"G-Ca-FLITS","g2","post",51,1647.531506,1790.189984,0.42489673,1
4457,"G-Ca-FLITS","g2","post",52,1430.112903,2450.127722,0.266746279,1
4457,"G-Ca-FLITS","g2","post",53,1521.404631,2495.376562,0.278961633,1
