 ,Label,Mean,Slice
182,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t46,8.71,46
183,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t46,8.59,46
184,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t46,11.06,46
185,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t47,8.81,47
186,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t47,8.61,47
187,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t47,7.76,47
188,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t47,11.02,47
189,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t48,8.08,48
190,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t48,7.42,48
191,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t48,7.85,48
192,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t48,10.60,48
193,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t49,6.69,49
194,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t49,6.74,49
195,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t49,9.09,49
196,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t49,10.38,49
197,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t50,6.08,50
198,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t50,6.87,50
199,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t50,11.41,50
200,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t50,10.66,50
201,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t51,6.27,51
202,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t51,7.45,51
203,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t51,12.53,51
204,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t51,10.62,51
205,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t52,7.46,52
206,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t52,8.69,52
207,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t52,11.62,52
208,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t52,10.60,52
