"Time","id","unique_id","Sample","Value"
92,"1","cell_03","cell_03",0.6194225
94,"1","cell_03","cell_03",0.6230611
96,"1","cell_03","cell_03",0.6389883
98,"1","cell_03","cell_03",0.6988535
100,"1","cell_03","cell_03",0.6311075
102,"1","cell_03","cell_03",0.6383035
104,"1","cell_03","cell_03",0.638924
106,"1","cell_03","cell_03",0.6375644
108,"1","cell_03","cell_03",0.6400624
110,"1","cell_03","cell_03",0.6334744
112,"1","cell_03","cell_03",0.6417574
114,"1","cell_03","cell_03",0.6333274
116,"1","cell_03","cell_03",0.6389716
118,"1","cell_03","cell_03",0.6370345
120,"1","cell_03","cell_03",0.6375932
122,"1","cell_03","cell_03",0.6330434
124,"1","cell_03","cell_03",0.63602
126,"1","cell_03","cell_03",0.6405231
128,"1","cell_03","cell_03",0.6400219
130,"1","cell_03","cell_03",0.6374485
132,"1","cell_03","cell_03",0.6383447
134,"1","cell_03","cell_03",0.6405104
136,"1","cell_03","cell_03",0.640002
138,"1","cell_03","cell_03",0.6406428
140,"1","cell_03","cell_03",0.6407111
142,"1","cell_03","cell_03",0.6384149
144,"1","cell_03","cell_03",0.6415494
146,"1","cell_03","cell_03",0.6378209
148,"1","cell_03","cell_03",0.6478026
150,"1","cell_03","cell_03",0.6196126
152,"1","cell_03","cell_03",0.6595996
154,"1","cell_03","cell_03",0.6806108
156,"1","cell_03","cell_03",0.7065055
158,"1","cell_03","cell_03",0.7507149
160,"1","cell_03","cell_03",0.7769749
162,"1","cell_03","cell_03",0.7957701
164,"1","cell_03","cell_03",0.7948181
166,"1","cell_03","cell_03",0.8146588
168,"1","cell_03","cell_03",0.8198928
170,"1","cell_03","cell_03",0.8180432
172,"1","cell_03","cell_03",0.818664
174,"1","cell_03","cell_03",0.8285172
176,"1","cell_03","cell_03",0.8293164
178,"1","cell_03","cell_03",0.8297671
180,"1","cell_03","cell_03",0.8248296
182,"1","cell_03","cell_03",0.8307277
184,"1","cell_03","cell_03",0.8273021
186,"1","cell_03","cell_03",0.83806
188,"1","cell_03","cell_03",0.833377
190,"1","cell_03","cell_03",0.8405777
192,"1","cell_03","cell_03",0.8432119
194,"1","cell_03","cell_03",0.8462502
196,"1","cell_03","cell_03",0.8417921
198,"1","cell_03","cell_03",0.8405947
200,"1","cell_03","cell_03",0.8473712
202,"1","cell_03","cell_03",0.8516165
204,"1","cell_03","cell_03",0.844476
206,"1","cell_03","cell_03",0.8494313
208,"1","cell_03","cell_03",0.8485293
210,"1","cell_03","cell_03",0.8388352
212,"1","cell_03","cell_03",0.8452401
214,"1","cell_03","cell_03",0.8585805
216,"1","cell_03","cell_03",0.8543727
218,"1","cell_03","cell_03",0.8542214
220,"1","cell_03","cell_03",0.8624922
222,"1","cell_03","cell_03",0.8617003
224,"1","cell_03","cell_03",0.8646743
226,"1","cell_03","cell_03",0.851841
228,"1","cell_03","cell_03",0.86164
230,"1","cell_03","cell_03",0.861764
232,"1","cell_03","cell_03",0.8662289
234,"1","cell_03","cell_03",0.8537068
236,"1","cell_03","cell_03",0.8610116
238,"1","cell_03","cell_03",0.865618
240,"1","cell_03","cell_03",0.8649738
0,"1","cell_04","cell_04",0.9938881
2,"1","cell_04","cell_04",1.004102
4,"1","cell_04","cell_04",1.001158
6,"1","cell_04","cell_04",1.001164
8,"1","cell_04","cell_04",1.001942
10,"1","cell_04","cell_04",0.9976327
12,"1","cell_04","cell_04",0.9940491
14,"1","cell_04","cell_04",0.9987096
16,"1","cell_04","cell_04",0.9968854
18,"1","cell_04","cell_04",0.9987984
20,"1","cell_04","cell_04",0.9994631
22,"1","cell_04","cell_04",0.9880604
24,"1","cell_04","cell_04",0.9934278
26,"1","cell_04","cell_04",0.9913366
28,"1","cell_04","cell_04",0.9827948
30,"1","cell_04","cell_04",0.9845817
32,"1","cell_04","cell_04",0.9902699
34,"1","cell_04","cell_04",0.9813325
36,"1","cell_04","cell_04",0.9822187
38,"1","cell_04","cell_04",0.9810679
40,"1","cell_04","cell_04",0.9887279
42,"1","cell_04","cell_04",0.9794463
44,"1","cell_04","cell_04",0.9848179
46,"1","cell_04","cell_04",0.9832006
48,"1","cell_04","cell_04",0.7090635
50,"1","cell_04","cell_04",0.7129364
52,"1","cell_04","cell_04",0.7070919
54,"1","cell_04","cell_04",0.7021374
56,"1","cell_04","cell_04",0.6940571
58,"1","cell_04","cell_04",0.692236
60,"1","cell_04","cell_04",0.6936882
62,"1","cell_04","cell_04",0.6933723
64,"1","cell_04","cell_04",0.6940081
66,"1","cell_04","cell_04",0.6951234
68,"1","cell_04","cell_04",0.6922216
70,"1","cell_04","cell_04",0.6931439
72,"1","cell_04","cell_04",0.6953734
74,"1","cell_04","cell_04",0.6928951
76,"1","cell_04","cell_04",0.6937922
78,"1","cell_04","cell_04",0.6935414
80,"1","cell_04","cell_04",0.691806
82,"1","cell_04","cell_04",0.6908084
84,"1","cell_04","cell_04",0.6878459
86,"1","cell_04","cell_04",0.6873162
88,"1","cell_04","cell_04",0.6920167
90,"1","cell_04","cell_04",0.6897801
92,"1","cell_04","cell_04",0.6921455
94,"1","cell_04","cell_04",0.69156
96,"1","cell_04","cell_04",0.6911537
98,"1","cell_04","cell_04",0.6875165
100,"1","cell_04","cell_04",0.6915534
102,"1","cell_04","cell_04",0.6891918
104,"1","cell_04","cell_04",0.6924402
106,"1","cell_04","cell_04",0.6898133
108,"1","cell_04","cell_04",0.6918577
110,"1","cell_04","cell_04",0.687372
112,"1","cell_04","cell_04",0.6888668
114,"1","cell_04","cell_04",0.6871159
116,"1","cell_04","cell_04",0.6891255
118,"1","cell_04","cell_04",0.6882656
120,"1","cell_04","cell_04",0.6881337
122,"1","cell_04","cell_04",0.6878538
124,"1","cell_04","cell_04",0.6879572
126,"1","cell_04","cell_04",0.6868591
128,"1","cell_04","cell_04",0.6847789
130,"1","cell_04","cell_04",0.6889208
132,"1","cell_04","cell_04",0.6862735
134,"1","cell_04","cell_04",0.6896104
136,"1","cell_04","cell_04",0.6900047
138,"1","cell_04","cell_04",0.6901839
140,"1","cell_04","cell_04",0.6866176
142,"1","cell_04","cell_04",0.6850116
144,"1","cell_04","cell_04",0.6853925
146,"1","cell_04","cell_04",0.6640525
148,"1","cell_04","cell_04",0.6848176
150,"1","cell_04","cell_04",0.682815
152,"1","cell_04","cell_04",0.6955957
154,"1","cell_04","cell_04",0.7208306
156,"1","cell_04","cell_04",0.748536
158,"1","cell_04","cell_04",0.7645899
160,"1","cell_04","cell_04",0.7835963
162,"1","cell_04","cell_04",0.7937301
164,"1","cell_04","cell_04",0.801936
166,"1","cell_04","cell_04",0.8132165
168,"1","cell_04","cell_04",0.8206086
170,"1","cell_04","cell_04",0.8254397
172,"1","cell_04","cell_04",0.8318515
174,"1","cell_04","cell_04",0.8379454
176,"1","cell_04","cell_04",0.8411039
178,"1","cell_04","cell_04",0.8437021
180,"1","cell_04","cell_04",0.8456879
182,"1","cell_04","cell_04",0.8512554
184,"1","cell_04","cell_04",0.8483365
186,"1","cell_04","cell_04",0.8551339
188,"1","cell_04","cell_04",0.8562742
190,"1","cell_04","cell_04",0.8550979
192,"1","cell_04","cell_04",0.8537892
194,"1","cell_04","cell_04",0.8530002
196,"1","cell_04","cell_04",0.8563579
198,"1","cell_04","cell_04",0.8631377
200,"1","cell_04","cell_04",0.8601948
202,"1","cell_04","cell_04",0.8603124
204,"1","cell_04","cell_04",0.8653032
206,"1","cell_04","cell_04",0.8665447
208,"1","cell_04","cell_04",0.8709114
210,"1","cell_04","cell_04",0.8697828
212,"1","cell_04","cell_04",0.8714681
214,"1","cell_04","cell_04",0.8731135
216,"1","cell_04","cell_04",0.8774736
218,"1","cell_04","cell_04",0.8755716
220,"1","cell_04","cell_04",0.8812335
222,"1","cell_04","cell_04",0.8805513
224,"1","cell_04","cell_04",0.8805155
226,"1","cell_04","cell_04",0.8870187
228,"1","cell_04","cell_04",0.8869889
230,"1","cell_04","cell_04",0.885383
232,"1","cell_04","cell_04",0.8916538
234,"1","cell_04","cell_04",0.8924411
236,"1","cell_04","cell_04",0.8905483
238,"1","cell_04","cell_04",0.8960189
240,"1","cell_04","cell_04",0.8915784
0,"1","cell_05","cell_05",0.9942987
2,"1","cell_05","cell_05",1.004207
4,"1","cell_05","cell_05",1.001488
6,"1","cell_05","cell_05",1.001113
8,"1","cell_05","cell_05",1.000751
10,"1","cell_05","cell_05",0.9987909
12,"1","cell_05","cell_05",0.9937052
14,"1","cell_05","cell_05",0.9976613
16,"1","cell_05","cell_05",1.002811
18,"1","cell_05","cell_05",1.000693
20,"1","cell_05","cell_05",1.000123
22,"1","cell_05","cell_05",0.9908413
24,"1","cell_05","cell_05",0.9926035
26,"1","cell_05","cell_05",0.9943461
28,"1","cell_05","cell_05",0.9860387
30,"1","cell_05","cell_05",0.992258
32,"1","cell_05","cell_05",0.9927139
34,"1","cell_05","cell_05",0.9925956
36,"1","cell_05","cell_05",0.9862194
38,"1","cell_05","cell_05",0.9891836
40,"1","cell_05","cell_05",0.9863042
42,"1","cell_05","cell_05",0.9872593
44,"1","cell_05","cell_05",0.9912714
46,"1","cell_05","cell_05",0.9882032
48,"1","cell_05","cell_05",0.6939162
50,"1","cell_05","cell_05",0.6907997
52,"1","cell_05","cell_05",0.6862905
54,"1","cell_05","cell_05",0.6862492
56,"1","cell_05","cell_05",0.675862
58,"1","cell_05","cell_05",0.6702752
60,"1","cell_05","cell_05",0.6758974
62,"1","cell_05","cell_05",0.6721024
64,"1","cell_05","cell_05",0.6746343
66,"1","cell_05","cell_05",0.6750088
68,"1","cell_05","cell_05",0.6711476
70,"1","cell_05","cell_05",0.6724354
72,"1","cell_05","cell_05",0.6766504
74,"1","cell_05","cell_05",0.6730373
76,"1","cell_05","cell_05",0.6728938
78,"1","cell_05","cell_05",0.6698915
80,"1","cell_05","cell_05",0.6730536
82,"1","cell_05","cell_05",0.6739558
84,"1","cell_05","cell_05",0.6671087
86,"1","cell_05","cell_05",0.6705547
88,"1","cell_05","cell_05",0.6713664
90,"1","cell_05","cell_05",0.6684079
92,"1","cell_05","cell_05",0.6694571
94,"1","cell_05","cell_05",0.6720146
96,"1","cell_05","cell_05",0.6676291
98,"1","cell_05","cell_05",0.6668726
100,"1","cell_05","cell_05",0.6690347
102,"1","cell_05","cell_05",0.6664217
104,"1","cell_05","cell_05",0.671641
106,"1","cell_05","cell_05",0.6716314
108,"1","cell_05","cell_05",0.6716189
110,"1","cell_05","cell_05",0.6673771
112,"1","cell_05","cell_05",0.6685454
114,"1","cell_05","cell_05",0.6698386
116,"1","cell_05","cell_05",0.6713089
118,"1","cell_05","cell_05",0.6697208
120,"1","cell_05","cell_05",0.6679878
122,"1","cell_05","cell_05",0.6682515
124,"1","cell_05","cell_05",0.6673157
126,"1","cell_05","cell_05",0.6668339
128,"1","cell_05","cell_05",0.6654504
130,"1","cell_05","cell_05",0.6720371
132,"1","cell_05","cell_05",0.6690102
134,"1","cell_05","cell_05",0.6714479
136,"1","cell_05","cell_05",0.671025
138,"1","cell_05","cell_05",0.6712533
140,"1","cell_05","cell_05",0.670809
142,"1","cell_05","cell_05",0.6674159
144,"1","cell_05","cell_05",0.6664161
146,"1","cell_05","cell_05",0.6425465
148,"1","cell_05","cell_05",0.6661977
150,"1","cell_05","cell_05",0.6737127
152,"1","cell_05","cell_05",0.7044499
